"gsm","donor","cond","celltype","x","y"
"GSM7717083","PWH27","Skin","Fibroblast",-2.577871,-1.7339952
"GSM7717090","PWH28","Wound30","Fibroblast",0.18645686,-1.5638906
"GSM7717090","PWH28","Wound30","Fibroblast",3.1774726,0.6884692
"GSM7717083","PWH27","Skin","Fibroblast",-2.8911965,-1.6741349
"GSM7717090","PWH28","Wound30","Fibroblast",0.6749334,0.08067448
"GSM7717081","PWH26","Wound7","Fibroblast",1.8438175,0.117266774
"GSM7717090","PWH28","Wound30","Fibroblast",2.7864313,0.63158345
"GSM7717085","PWH27","Wound7","Fibroblast",-1.4433714,-0.89567435
"GSM7717082","PWH26","Wound30","Fibroblast",0.49411058,-1.5364481
"GSM7717087","PWH28","Skin","Fibroblast",1.6980121,-0.7228232
"GSM7717085","PWH27","Wound7","Fibroblast",0.17535274,0.7952787
"GSM7717085","PWH27","Wound7","Fibroblast",0.69733757,0.76343083
"GSM7717086","PWH27","Wound30","Fibroblast",-0.026867032,-0.05789208
"GSM7717090","PWH28","Wound30","Fibroblast",1.4187152,-0.3933851
"GSM7717085","PWH27","Wound7","Fibroblast",0.296554,0.3885383
"GSM7717085","PWH27","Wound7","Fibroblast",-3.963892,-0.20104043
"GSM7717082","PWH26","Wound30","Fibroblast",0.04413549,-1.7503607
"GSM7717079","PWH26","Skin","Fibroblast",-2.6754274,-1.098824
"GSM7717085","PWH27","Wound7","Fibroblast",-0.6071152,-0.49669483
"GSM7717082","PWH26","Wound30","Fibroblast",1.7640626,0.54593945
"GSM7717086","PWH27","Wound30","Fibroblast",2.9642086,0.13255408
"GSM7717081","PWH26","Wound7","Fibroblast",0.6894464,-0.005588247
"GSM7717090","PWH28","Wound30","Fibroblast",2.2926664,0.5045242
"GSM7717090","PWH28","Wound30","Fibroblast",2.0874977,0.3818652
"GSM7717085","PWH27","Wound7","Fibroblast",-2.9326613,-0.06326022
"GSM7717081","PWH26","Wound7","Fibroblast",0.3365869,-0.23129368
"GSM7717087","PWH28","Skin","Fibroblast",-0.4624031,-1.6965201
"GSM7717087","PWH28","Skin","Fibroblast",-0.8471331,3.6027493
"GSM7717086","PWH27","Wound30","Fibroblast",0.19173141,-2.156349
"GSM7717087","PWH28","Skin","Fibroblast",-3.649899,1.8033237
"GSM7717085","PWH27","Wound7","Fibroblast",-2.845856,2.3204744
