"donor","cond","gene","cells","mean_log1p_cp10k","detected_fraction","pseudobulk_log1p_cp10k","scaled"
"Donor A","0","COL1A1",724,3.05737134637549,0.99585635359116,3.46066863367259,0.261925331148171
"Donor A","0","COL3A1",724,2.73815045315063,0.986187845303867,3.12121340262617,0.302646130352532
"Donor A","0","DCN",724,4.07451406257296,0.998618784530387,4.44133217044303,0.942191408819945
"Donor A","0","LUM",724,1.60430574768346,0.901933701657459,1.97838510324073,0.226291383036586
"Donor A","0","TIMP1",724,1.54102598624391,0.959944751381215,1.75012945713744,0
"Donor A","0","CHI3L1",724,0.00298081790198427,0.00552486187845304,0.00343998060582821,0.0614572963517427
"Donor A","0","FN1",724,1.56167984222266,0.930939226519337,1.85166878990073,0.221079304709077
"Donor A","0","MMP1",724,0.00461162877307639,0.00276243093922652,0.0102846436657,0.00189549995483486
"Donor A","0","MMP3",724,0.00278738546540649,0.00414364640883978,0.00601222254160294,0.00328724256474225
"Donor A","0","IL6",724,1.1458489852578,0.664364640883978,1.91519427555903,0.982955367435793
"Donor A","0","CXCL12",724,1.42634335785835,0.732044198895028,2.06517011290319,0.738708061504472
"Donor A","0","ACTA2",724,0.0646915897689313,0.11878453038674,0.0881738086112823,0.0230695446862509
"Donor A","1","COL1A1",255,2.1297864563536,0.925490196078431,2.49272866639973,0
"Donor A","1","COL3A1",255,1.57320535143752,0.752941176470588,2.00866683451948,0
"Donor A","1","DCN",255,3.62102288653989,0.992156862745098,3.8829525844606,0.458680764269383
"Donor A","1","LUM",255,1.08003009504804,0.803921568627451,1.40586380589404,0.0340635595356983
"Donor A","1","TIMP1",255,2.8157798250681,0.984313725490196,3.58342969117024,0.87103648709693
"Donor A","1","CHI3L1",255,0.0186598828952814,0.0156862745098039,0.055973510226352,1
"Donor A","1","FN1",255,1.14627416616665,0.847058823529412,1.35974430807217,0.0317891607002415
"Donor A","1","MMP1",255,0.333578886068748,0.168627450980392,1.47660104100748,0.677147056397147
