"group","value"
"Same-time
donor",0.206464290618896
"Same-time
donor",0.192761898040771
"Same-time
donor",0.169551849365234
"Same-time
donor",0.50726318359375
"Same-time
donor",0.294883728027344
"Same-time
donor",0.346905708312988
"Same-time
donor",0.174018859863281
"Same-time
donor",0.276776313781738
"Same-time
donor",0.263795852661133
"Same-time
donor",0.250590801239014
"Same-time
donor",0.214471578598022
"Same-time
donor",0.0932290554046631
"Same-donor
time",1.21009969711304
"Same-donor
time",2.44964361190796
"Same-donor
time",3.06939601898193
"Same-donor
time",1.75802803039551
"Same-donor
time",2.75545930862427
"Same-donor
time",0.821637630462646
"Same-donor
time",1.64842224121094
"Same-donor
time",2.09002208709717
"Same-donor
time",3.4618124961853
"Same-donor
time",1.58734035491943
"Same-donor
time",3.75051641464233
"Same-donor
time",1.84299731254578
"Same-donor
time",1.42426586151123
"Same-donor
time",1.58644390106201
"Same-donor
time",3.89262986183167
"Same-donor
time",1.07483386993408
"Same-donor
time",4.06547093391418
"Same-donor
time",2.28297829627991
