gsm,arm,pod,celltype
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
GSM9635837,PDB,POD0,fibroblast
