donor,cond,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
PWH26,Skin,COL1A1,724,3.057371346375492,0.9958563535911602,3.460668633672587
PWH26,Skin,COL3A1,724,2.7381504531506256,0.9861878453038674,3.1212134026261746
PWH26,Skin,DCN,724,4.0745140625729555,0.9986187845303868,4.441332170443025
PWH26,Skin,LUM,724,1.6043057476834603,0.9019337016574586,1.9783851032407327
PWH26,Skin,TIMP1,724,1.5410259862439104,0.9599447513812155,1.7501294571374384
PWH26,Skin,CHI3L1,724,0.0029808179019842665,0.0055248618784530384,0.0034399806058282145
PWH26,Skin,FN1,724,1.5616798422226637,0.930939226519337,1.851668789900732
PWH26,Skin,MMP1,724,0.004611628773076391,0.0027624309392265192,0.010284643665699974
PWH26,Skin,MMP3,724,0.0027873854654064893,0.004143646408839779,0.006012222541602937
PWH26,Skin,IL6,724,1.145848985257802,0.664364640883978,1.9151942755590334
PWH26,Skin,CXCL12,724,1.4263433578583515,0.7320441988950276,2.065170112903188
PWH26,Skin,ACTA2,724,0.06469158976893129,0.11878453038674033,0.08817380861128225
PWH26,Wound1,COL1A1,255,2.1297864563536035,0.9254901960784314,2.492728666399726
PWH26,Wound1,COL3A1,255,1.5732053514375202,0.7529411764705882,2.008666834519482
PWH26,Wound1,DCN,255,3.6210228865398917,0.9921568627450981,3.8829525844606048
PWH26,Wound1,LUM,255,1.0800300950480353,0.803921568627451,1.405863805894045
PWH26,Wound1,TIMP1,255,2.8157798250681,0.984313725490196,3.5834296911702386
PWH26,Wound1,CHI3L1,255,0.018659882895281404,0.01568627450980392,0.05597351022635199
PWH26,Wound1,FN1,255,1.1462741661666478,0.8470588235294118,1.3597443080721698
PWH26,Wound1,MMP1,255,0.3335788860687482,0.16862745098039217,1.4766010410074752
PWH26,Wound1,MMP3,255,0.26012349053652384,0.12156862745098039,1.5140667440630329
PWH26,Wound1,IL6,255,1.0806161693792808,0.6588235294117647,1.9078219140511439
PWH26,Wound1,CXCL12,255,1.4370341812407514,0.8352941176470589,1.8091293429112307
PWH26,Wound1,ACTA2,255,0.053503167824614783,0.11764705882352941,0.06122766520523552
PWH26,Wound30,COL1A1,843,5.348851050155082,1.0,6.048826657097108
PWH26,Wound30,COL3A1,843,4.912413248264355,0.9976275207591934,5.562703621103745
PWH26,Wound30,DCN,843,4.073380827265861,1.0,4.207024964916047
PWH26,Wound30,LUM,843,3.4823970831564046,0.9940688018979834,3.884892777725554
PWH26,Wound30,TIMP1,843,2.4505245682490786,0.9976275207591934,2.769632067670995
PWH26,Wound30,CHI3L1,843,0.007847360616734017,0.014234875444839857,0.01253910831426462
PWH26,Wound30,FN1,843,2.7682446909916587,0.9774614472123369,3.5811107402688553
PWH26,Wound30,MMP1,843,0.05766511742711372,0.06880189798339265,0.1686485055269004
PWH26,Wound30,MMP3,843,0.03845835754068535,0.06287069988137604,0.08906427593353344
PWH26,Wound30,IL6,843,0.2521246537223369,0.20521945432977462,0.5174021385143388
