path,step,x,y
0,0,-3.1087136268615723,1.5337237119674683
1,0,-3.1149439811706543,-0.905400812625885
2,0,-3.0359227657318115,0.19784674048423767
3,0,-3.80414080619812,3.585277557373047
4,0,1.957619071006775,2.2710511684417725
5,0,-1.0545021295547485,1.1920961141586304
6,0,-2.0651495456695557,-0.3154461681842804
7,0,-3.498049020767212,1.0239003896713257
8,0,-3.0045926570892334,2.2345378398895264
9,0,-2.7836406230926514,-0.019014006480574608
10,0,-2.6232118606567383,-0.8509116172790527
11,0,-0.7630468010902405,1.6662802696228027
12,0,-2.6284689903259277,0.20413079857826233
13,0,-3.2960379123687744,0.06070565804839134
14,0,-1.0163670778274536,1.7914167642593384
15,0,-4.314247131347656,4.2149739265441895
16,0,-3.513517379760742,2.997335195541382
17,0,-1.39259672164917,1.2439277172088623
18,0,-2.3146207332611084,-0.5217633247375488
19,0,-2.0076236724853516,0.44918426871299744
20,0,-2.5517148971557617,1.6454253196716309
21,0,-0.9525327086448669,0.24438726902008057
22,0,-2.932072401046753,-0.4726104140281677
23,0,-2.2942659854888916,0.1920630782842636
24,0,-2.9372501373291016,0.38973042368888855
25,0,-0.6067232489585876,-0.2492161989212036
26,0,-3.575450897216797,0.42381414771080017
27,0,-2.1399786472320557,2.661344528198242
28,0,-0.7032589316368103,1.3309584856033325
29,0,-0.972571074962616,-0.15410853922367096
30,0,-0.09782405942678452,3.012565851211548
31,0,-2.9980640411376953,-0.8725281953811646
32,0,-1.1273932456970215,3.887254238128662
33,0,-1.1701786518096924,-0.11517585068941116
34,0,-2.111250638961792,-0.35579216480255127
35,0,-2.1916697025299072,-0.1331758201122284
0,1,-3.0586531162261963,1.5725773572921753
1,1,-3.0294997692108154,-0.9763199090957642
2,1,-2.990149736404419,0.20801371335983276
3,1,-3.7775425910949707,3.786937713623047
4,1,2.2335684299468994,2.382544994354248
5,1,-0.9668800830841064,1.1927995681762695
6,1,-1.9785957336425781,-0.34096643328666687
7,1,-3.4658219814300537,1.0431334972381592
8,1,-2.8551783561706543,2.2106680870056152
9,1,-2.7114176750183105,-0.05913335457444191
10,1,-2.554893732070923,-0.8783512115478516
11,1,-0.6129264235496521,1.7363693714141846
12,1,-2.5557668209075928,0.19837398827075958
13,1,-3.2568845748901367,0.06780492514371872
14,1,-0.9151110053062439,1.8319686651229858
15,1,-4.289867401123047,4.407177925109863
16,1,-3.408881664276123,3.0296669006347656
17,1,-1.247274398803711,1.2487088441848755
18,1,-2.238157272338867,-0.5577197074890137
19,1,-1.9540058374404907,0.4271271228790283
20,1,-2.449310302734375,1.6403979063034058
21,1,-0.7820192575454712,0.26744750142097473
22,1,-2.8644838333129883,-0.4886343777179718
23,1,-2.2006921768188477,0.2154943346977234
24,1,-2.8817996978759766,0.38480913639068604
25,1,-0.4766373932361603,-0.2733473777770996
26,1,-3.483952522277832,0.42782729864120483
27,1,-2.013216972351074,2.701589822769165
28,1,-0.5966160893440247,1.3516404628753662
29,1,-0.8176467418670654,-0.13046807050704956
30,1,0.028860921040177345,3.0439133644104004
31,1,-2.948970317840576,-0.8813539743423462
32,1,-1.0211596488952637,3.939314126968384
33,1,-1.037306547164917,-0.12420845776796341
34,1,-2.0008983612060547,-0.36491644382476807
35,1,-2.1052815914154053,-0.12149930745363235
0,2,-2.9261364936828613,1.5085644721984863
1,2,-2.916043996810913,-1.0109025239944458
2,2,-2.8757474422454834,0.2096070796251297
3,2,-3.6679277420043945,3.841813325881958
4,2,2.4530105590820312,2.4491989612579346
5,2,-0.9165393710136414,1.1283988952636719
6,2,-1.8537107706069946,-0.3673531711101532
7,2,-3.3703691959381104,1.0593763589859009
8,2,-2.6775431632995605,2.1434030532836914
9,2,-2.6082417964935303,-0.10136989504098892
10,2,-2.434260845184326,-0.9078286290168762
11,2,-0.4764026701450348,1.754577398300171
12,2,-2.406076431274414,0.1855354756116867
13,2,-3.1465883255004883,0.07253283262252808
14,2,-0.8481497168540955,1.8058172464370728
15,2,-4.188333511352539,4.460953712463379
16,2,-3.2480452060699463,2.954785108566284
17,2,-1.0490158796310425,1.2041736841201782
18,2,-2.1260979175567627,-0.6082102656364441
19,2,-1.896352767944336,0.4121415615081787
20,2,-2.3507490158081055,1.570794939994812
21,2,-0.5940650105476379,0.2956048548221588
22,2,-2.789050579071045,-0.46592438220977783
23,2,-2.0656750202178955,0.21665966510772705
24,2,-2.7640786170959473,0.35446545481681824
25,2,-0.3399297893047333,-0.28162717819213867
26,2,-3.324674129486084,0.4060460329055786
27,2,-1.8354624509811401,2.6288645267486572
28,2,-0.5093397498130798,1.2981618642807007
29,2,-0.6578162908554077,-0.11772891134023666
30,2,0.145145446062088,2.9710326194763184
31,2,-2.848803997039795,-0.8770661354064941
32,2,-0.9027116894721985,3.8387973308563232
33,2,-0.869796633720398,-0.14590315520763397
34,2,-1.8455947637557983,-0.3712790012359619
35,2,-1.9819906949996948,-0.10852007567882538
0,3,-2.7515077590942383,1.4022308588027954
1,3,-2.8086884021759033,-1.0005346536636353
2,3,-2.7181525230407715,0.2087622731924057
3,3,-3.50475811958313,3.7928760051727295
4,3,2.6231906414031982,2.4614758491516113
5,3,-0.8916928172111511,1.0303326845169067
6,3,-1.712210774421692,-0.3787357211112976
7,3,-3.239339828491211,1.080896258354187
8,3,-2.497850179672241,2.0728163719177246
9,3,-2.5079572200775146,-0.12123943120241165
10,3,-2.290867328643799,-0.9197597503662109
11,3,-0.35687658190727234,1.7408901453018188
12,3,-2.205127000808716,0.1683160960674286
13,3,-2.986842632293701,0.07740961015224457
14,3,-0.8016136288642883,1.7345359325408936
15,3,-4.042161464691162,4.411797523498535
16,3,-3.0645999908447266,2.8176026344299316
17,3,-0.8289777040481567,1.1528403759002686
18,3,-2.0075535774230957,-0.6446328163146973
19,3,-1.8377031087875366,0.40309256315231323
20,3,-2.270185708999634,1.464494228363037
21,3,-0.4036770462989807,0.32476806640625
22,3,-2.7224178314208984,-0.4182010591030121
23,3,-1.9158257246017456,0.20708580315113068
24,3,-2.622040271759033,0.3171316385269165
25,3,-0.23228313028812408,-0.27004924416542053
26,3,-3.1391172409057617,0.38146036863327026
27,3,-1.6369011402130127,2.492858409881592
28,3,-0.4310660660266876,1.205419659614563
29,3,-0.5160147547721863,-0.09707905352115631
30,3,0.24858447909355164,2.8314173221588135
31,3,-2.7274858951568604,-0.8402261734008789
32,3,-0.7850435376167297,3.637507677078247
33,3,-0.684239387512207,-0.1509762853384018
34,3,-1.673338532447815,-0.358963280916214
35,3,-1.8434001207351685,-0.08026673644781113
0,4,-2.5682544708251953,1.2932628393173218
1,4,-2.723902940750122,-0.9618786573410034
2,4,-2.545034646987915,0.20248565077781677
3,4,-3.3177363872528076,3.6886656284332275
4,4,2.7528445720672607,2.435979127883911
5,4,-0.8799103498458862,0.9296692609786987
6,4,-1.5688364505767822,-0.37428638339042664
7,4,-3.097309112548828,1.109925389289856
8,4,-2.3224282264709473,2.0112478733062744
9,4,-2.4190752506256104,-0.12185746431350708
10,4,-2.1404306888580322,-0.914654552936554
11,4,-0.25641030073165894,1.7090815305709839
12,4,-1.97892427444458,0.1428002417087555
13,4,-2.806989908218384,0.07865864783525467
14,4,-0.7650076150894165,1.6550922393798828
15,4,-3.8874337673187256,4.3006672859191895
16,4,-2.8863229751586914,2.6584694385528564
17,4,-0.5990104675292969,1.1088813543319702
18,4,-1.8971397876739502,-0.6597320437431335
19,4,-1.7764232158660889,0.3924406170845032
20,4,-2.2165799140930176,1.3474303483963013
21,4,-0.21694090962409973,0.34522053599357605
22,4,-2.666257619857788,-0.3700469732284546
23,4,-1.764283299446106,0.1964515596628189
24,4,-2.4816935062408447,0.2810862064361572
25,4,-0.16078436374664307,-0.25494927167892456
26,4,-2.9528918266296387,0.35806718468666077
27,4,-1.437286138534546,2.335214614868164
28,4,-0.3556863069534302,1.1019777059555054
29,4,-0.3974662721157074,-0.06870906800031662
30,4,0.3397443890571594,2.681671380996704
31,4,-2.6053950786590576,-0.7838823795318604
32,4,-0.6716734170913696,3.3996715545654297
33,4,-0.4885583519935608,-0.14111942052841187
34,4,-1.4973104000091553,-0.3298332095146179
35,4,-1.7016452550888062,-0.046627018600702286
0,5,-2.3858022689819336,1.1884691715240479
1,5,-2.662994861602783,-0.9163626432418823
2,5,-2.3716464042663574,0.18761001527309418
3,5,-3.1293954849243164,3.565746784210205
4,5,2.8387796878814697,2.402801990509033
5,5,-0.8727466464042664,0.8386707901954651
6,5,-1.4268194437026978,-0.36309829354286194
7,5,-2.9561233520507812,1.138627290725708
8,5,-2.150282621383667,1.9581491947174072
9,5,-2.3405823707580566,-0.11292517185211182
10,5,-1.9871447086334229,-0.9019036889076233
11,5,-0.1781793087720871,1.6685919761657715
12,5,-1.7449992895126343,0.10818176716566086
13,5,-2.626063108444214,0.0723833367228508
14,5,-0.7292574644088745,1.5845803022384644
15,5,-3.743241310119629,4.162817478179932
16,5,-2.716099977493286,2.4968714714050293
17,5,-0.36086127161979675,1.0720447301864624
18,5,-1.7951852083206177,-0.665175199508667
19,5,-1.7129343748092651,0.3745993673801422
20,5,-2.1939127445220947,1.2343800067901611
21,5,-0.029912522062659264,0.34939736127853394
22,5,-2.6221978664398193,-0.3330044150352478
23,5,-1.6135066747665405,0.18697574734687805
24,5,-2.3496158123016357,0.24442535638809204
25,5,-0.11473890393972397,-0.2539270222187042
26,5,-2.773089647293091,0.33222314715385437
27,5,-1.2362966537475586,2.17610764503479
28,5,-0.2799583971500397,1.002947449684143
29,5,-0.29532694816589355,-0.046782489866018295
30,5,0.42524418234825134,2.5463624000549316
31,5,-2.4898359775543213,-0.7319111227989197
32,5,-0.552335798740387,3.1660566329956055
33,5,-0.2872098684310913,-0.12464892119169235
34,5,-1.3197139501571655,-0.29302558302879333
35,5,-1.5618772506713867,-0.0218533743172884
0,6,-2.204110622406006,1.0847251415252686
1,6,-2.620750904083252,-0.8774258494377136
2,6,-2.2021872997283936,0.1642640084028244
3,6,-2.9481420516967773,3.439465284347534
4,6,2.8831663131713867,2.3667027950286865
5,6,-0.8659734725952148,0.7578031420707703
6,6,-1.2871683835983276,-0.351945698261261
7,6,-2.82419490814209,1.164462685585022
8,6,-1.9798797369003296,1.9091161489486694
9,6,-2.2717981338500977,-0.10080926865339279
10,6,-1.8333988189697266,-0.8878057599067688
11,6,-0.12084689736366272,1.6233397722244263
12,6,-1.5114620923995972,0.06589870154857635
13,6,-2.450984239578247,0.05839165300130844
14,6,-0.6880293488502502,1.5234861373901367
15,6,-3.6152448654174805,4.021279811859131
16,6,-2.551305055618286,2.3381779193878174
17,6,-0.11299674212932587,1.039111852645874
18,6,-1.701838731765747,-0.6689710021018982
19,6,-1.6493499279022217,0.34921249747276306
20,6,-2.2017078399658203,1.1312800645828247
21,6,0.15926489233970642,0.3388359546661377
22,6,-2.5922601222991943,-0.3083180785179138
23,6,-1.462965965270996,0.17634019255638123
24,6,-2.226017475128174,0.20427927374839783
25,6,-0.08262563496828079,-0.2731553912162781
26,6,-2.600821018218994,0.30158886313438416
27,6,-1.0276285409927368,2.022148847579956
28,6,-0.19936664402484894,0.9119455218315125
29,6,-0.20313842594623566,-0.037940409034490585
30,6,0.5091453194618225,2.424945116043091
31,6,-2.384197473526001,-0.6929517984390259
32,6,-0.4195903539657593,2.9500982761383057
33,6,-0.08252924680709839,-0.10465362668037415
34,6,-1.1401958465576172,-0.2537844181060791
35,6,-1.4258116483688354,-0.009182463400065899
0,7,-2.0220205783843994,0.9783805012702942
1,7,-2.5931107997894287,-0.8490962386131287
2,7,-2.0364830493927,0.13279631733894348
3,7,-2.7752726078033447,3.3124282360076904
4,7,2.8994994163513184,2.3104865550994873
5,7,-0.8576546907424927,0.683626115322113
6,7,-1.1508814096450806,-0.3447069525718689
7,7,-2.705941677093506,1.1892808675765991
8,7,-1.810684084892273,1.8597769737243652
9,7,-2.211965322494507,-0.08934840559959412
10,7,-1.6811256408691406,-0.8765343427658081
11,7,-0.07907401770353317,1.573480248451233
12,7,-1.2805941104888916,0.016855107620358467
13,7,-2.2827861309051514,0.036893367767333984
14,7,-0.6386572122573853,1.4678828716278076
15,7,-3.5040762424468994,3.88611102104187
16,7,-2.3914971351623535,2.1815757751464844
17,7,0.14652638137340546,1.007377028465271
18,7,-1.6178574562072754,-0.6744552850723267
19,7,-1.5869965553283691,0.3184348940849304
20,7,-2.235635280609131,1.0376416444778442
21,7,0.3486507833003998,0.31850114464759827
22,7,-2.5769200325012207,-0.29463550448417664
23,7,-1.3116623163223267,0.1610954999923706
24,7,-2.1097769737243652,0.15831460058689117
25,7,-0.05839221179485321,-0.3116826117038727
26,7,-2.4360570907592773,0.2654520273208618
27,7,-0.8069115877151489,1.8743106126785278
28,7,-0.11136767268180847,0.8276625871658325
29,7,-0.11825719475746155,-0.040069736540317535
30,7,0.5925976634025574,2.3116161823272705
31,7,-2.290019989013672,-0.6671633124351501
32,7,-0.2700684070587158,2.7515549659729004
33,7,0.12511330842971802,-0.08158889412879944
34,7,-0.9582905769348145,-0.21438555419445038
35,7,-1.2935835123062134,-0.0062534138560295105
0,8,-1.839055061340332,0.8669790625572205
1,8,-2.5775861740112305,-0.8312528729438782
2,8,-1.873647928237915,0.09328353404998779
3,8,-2.6109983921051025,3.1846015453338623
4,8,2.9001917839050293,2.2187254428863525
5,8,-0.8468968272209167,0.6124810576438904
6,8,-1.0188195705413818,-0.3436819911003113
7,8,-2.6015243530273438,1.2154635190963745
8,8,-1.6429818868637085,1.8076269626617432
9,8,-2.159820795059204,-0.08052817732095718
10,8,-1.531625509262085,-0.8710970282554626
11,8,-0.04810627922415733,1.517853021621704
12,8,-1.0532296895980835,-0.038410086184740067
13,8,-2.1211416721343994,0.007849539630115032
14,8,-0.5807402729988098,1.4137754440307617
15,8,-3.4091567993164062,3.7612760066986084
16,8,-2.238101005554199,2.025700807571411
17,8,0.41777822375297546,0.9756020903587341
18,8,-1.5434110164642334,-0.6835651397705078
19,8,-1.5259958505630493,0.2840152084827423
20,8,-2.291024684906006,0.9511584043502808
21,8,0.5344443917274475,0.29211488366127014
22,8,-2.5756523609161377,-0.2905920147895813
23,8,-1.1589903831481934,0.1386549025774002
24,8,-1.9997972249984741,0.10502064228057861
25,8,-0.03955711051821709,-0.36731329560279846
26,8,-2.2787041664123535,0.22421219944953918
27,8,-0.57351154088974,1.7320796251296997
28,8,-0.01612153649330139,0.7483209371566772
29,8,-0.03929342329502106,-0.05116080492734909
30,8,0.6761803030967712,2.2013449668884277
31,8,-2.207697629928589,-0.6534432768821716
32,8,-0.10282527655363083,2.5660862922668457
33,8,0.33568841218948364,-0.05594256520271301
34,8,-0.7740988731384277,-0.17605338990688324
35,8,-1.1649781465530396,-0.010525159537792206
0,9,-1.6551969051361084,0.7491784691810608
1,9,-2.572256088256836,-0.8228582143783569
2,9,-1.7131189107894897,0.0457879900932312
3,9,-2.4556467533111572,3.057117462158203
4,9,2.888380765914917,2.0923550128936768
5,9,-0.8325010538101196,0.5410933494567871
6,9,-0.8916301131248474,-0.35017073154449463
7,9,-2.5092644691467285,1.2450587749481201
8,9,-1.4774645566940308,1.7522509098052979
9,9,-2.113847255706787,-0.07508973032236099
10,9,-1.3855479955673218,-0.8734143972396851
11,9,-0.02429923042654991,1.4549064636230469
12,9,-0.8302366733551025,-0.09938433021306992
13,9,-1.965869426727295,-0.028746826574206352
14,9,-0.51444411277771,1.357552409172058
15,9,-3.3296637535095215,3.6495208740234375
16,9,-2.093132972717285,1.870269536972046
17,9,0.6970673203468323,0.9436665177345276
18,9,-1.478092074394226,-0.6978390216827393
19,9,-1.4659574031829834,0.24672241508960724
20,9,-2.364805221557617,0.870765745639801
21,9,0.7126290798187256,0.2616868317127228
22,9,-2.5875813961029053,-0.2950623333454132
23,9,-1.0049093961715698,0.10766509175300598
24,9,-1.8953193426132202,0.04371749237179756
25,9,-0.025090686976909637,-0.43793925642967224
26,9,-2.1286990642547607,0.178957000374794
27,9,-0.330272376537323,1.5941828489303589
28,9,0.08522304147481918,0.6730220317840576
29,9,0.03510948270559311,-0.07099415361881256
30,9,0.7616492509841919,2.0895750522613525
31,9,-2.1371307373046875,-0.6508534550666809
32,9,0.08124261349439621,2.3884823322296143
33,9,0.5481315851211548,-0.02877386286854744
34,9,-0.5884620547294617,-0.1395220011472702
35,9,-1.0398188829421997,-0.01990140601992607
0,10,-1.4704644680023193,0.6243841052055359
1,10,-2.57536244392395,-0.8227806687355042
2,10,-1.5548133850097656,-0.009533951990306377
3,10,-2.309453248977661,2.9320805072784424
4,10,2.8656539916992188,1.9405404329299927
5,10,-0.8129403591156006,0.46681034564971924
6,10,-0.7697352766990662,-0.3647749125957489
7,10,-2.4275684356689453,1.2798281908035278
8,10,-1.3148455619812012,1.6946065425872803
9,10,-2.072556495666504,-0.07311965525150299
10,10,-1.2430956363677979,-0.8845002055168152
